Tag number, Tag description
001, Control Number
003, Control Number Identifier
005, Date and Time of Latest Transaction
006, Fixed-Length Data Elements - Additional Material Characteristics
007, Physical Description Fixed Field
008, Fixed-Length Data Elements
041, Language
100, Author
110, Publisher 
111, Meeting Name 
130, Uniform Title 
210, Abbreviated Title 
222, Key Title 
240, Uniform Title 
242, Translation of Title by Cataloging Agency 
243, Collective Uniform Title 
245, Title
246, Varying Form of Title 
247, Former Title 
250, Edition  
254, Musical Presentation Statement  
255, Cartographic Mathematical Data  
256, Computer File Characteristics  
257, Country of Producing Entity  
258, Philatelic Issue Data  
260, Publication 
263, Projected Publication Date  
264, Production  
270, Address  
300, Extent
306, Playing Time  
307, Hours, etc.  
310, Current Publication Frequency  
321, Former Publication Frequency  
336, Content Type  
337, Media Type  
338, Carrier Type  
340, Physical Medium  
342, Geospatial Reference Data  
343, Planar Coordinate Data  
344, Sound Characteristics  
345, Projection Characteristics of Moving Image  
346, Video Characteristics  
347, Digital File Characteristics  
348, Format of Notated Music  
351, Organization and Arrangement of Materials  
352, Digital Graphic Representation  
355, Security Classification Control  
357, Originator Dissemination Control  
362, Dates of Publication and/or Sequential Designation  
363, Normalized Date and Sequential Designation  
365, Trade Price  
366, Trade Availability Information  
370, Associated Place  
377, Associated Language  
380, Form of Work  
381, Other Distinguishing Characteristics of Work or Expression  
382, Medium of Performance  
383, Numeric Designation of Musical Work  
384, Key  
385, Audience Characteristics  
386, Creator/Contributor Characteristics  
388, Time Period of Creation  
490, Series
500, Note
501, With Note
502, Dissertation 
504, Bibliography, etc. 
505, Formatted Contents 
506, Restrictions on Access 
507, Scale for Graphic Material 
508, Creation/Production Credits 
510, Citation/References 
511, Participant or Performer 
513, Type of Report and Period Covered 
514, Data Quality 
515, Numbering Peculiarities 
516, Type of Computer File or Data 
518, Date/Time and Place of an Event 
520, Summary, etc. 
521, Target Audience 
522, Geographic Coverage 
524, Preferred Citation of Described Materials 
525, Supplement 
526, Study Program Information 
530, Additional Physical Form available 
533, Reproduction 
534, Original Version 
535, Location of Originals
536, Funding Information 
538, System Details 
540, Terms Governing Use and Reproduction 
541, Immediate Source of Acquisition 
542, Information Relating to Copyright Status 
544, Location of Other Archival Materials
545, Biographical or Historical Data 
546, Language 
547, Former Title Complexity 
550, Issuing Body 
552, Entity and Attribute Information 
555, Cumulative Index/Finding Aids 
556, Information About Documentation 
561, Ownership and Custodial History 
562, Copy and Version Identification 
563, Binding Information 
565, Case File Characteristics 
567, Methodology 
580, Linking Entry Complexity 
581, Publications About Described Materials 
583, Action 
584, Accumulation and Frequency of Use 
585, Exhibitions 
586, Awards 
588, Source of Description 
600, Subject Added Entry - Personal Name  
610, Subject Added Entry - Corporate Name  
611, Subject Added Entry - Meeting Name  
630, Subject Added Entry - Uniform Title  
647, Subject Added Entry - Named Event  
648, Subject Added Entry - Chronological Term  
650, Subject Added Entry - Topical Term  
651, Subject Added Entry - Geographic Name  
653, Index Term - Uncontrolled  
654, Subject Added Entry - Faceted Topical Terms  
655, Index Term - Genre/Form  
656, Index Term - Occupation  
657, Index Term - Function  
658, Index Term - Curriculum Objective  
662, Subject Added Entry - Hierarchical Place Name  
700, Collaborator 
710, Added Entry - Corporate Name 
711, Added Entry - Meeting Name 
720, Added Entry - Uncontrolled Name 
730, Added Entry - Uniform Title 
740, Added Entry - Uncontrolled Related/Analytical Title 
751, Added Entry - Geographic Name 
752, Added Entry - Hierarchical Place Name 
753, System Details Access to Computer Files 
754, Added Entry - Taxonomic Identification  
760, Main Series Entry  
762, Subseries Entry  
765, Original Language Entry  
767, Translation Entry  
770, Supplement/Special Issue Entry  
772, Supplement Parent Entry  
773, Host Item Entry  
774, Constituent Unit Entry  
775, Other Edition Entry  
776, Additional Physical Form Entry  
777, Issued With Entry  
780, Preceding Entry  
785, Succeeding Entry  
786, Data Source Entry  
787, Other Relationship Entry  
800, Series Added Entry - Personal Name 
810, Series Added Entry - Corporate Name 
811, Series Added Entry - Meeting Name 
830, Series Added Entry - Uniform Title 
841, Holdings Coded Data Values
842, Textual Physical Form Designator
843, Reproduction
844, Name of Unit
845, Terms Governing Use and Reproduction
850, Holding Institution  
852, Location  
853, Captions and Pattern - Basic Bibliographic Unit
854, Captions and Pattern - Supplementary Material
855, Captions and Pattern - Indexes
856, Electronic Location and Access  
863, Enumeration and Chronology - Basic Bibliographic Unit
864, Enumeration and Chronology - Supplementary Material
865, Enumeration and Chronology - Indexes
866, Textual Holdings - Basic Bibliographic Unit
867, Textual Holdings - Supplementary Material
868, Textual Holdings - Indexes
876, Item Information - Basic Bibliographic Unit
877, Item Information - Supplementary Material
878, Item Information - Indexes
880, Alternate Graphic Representation  
882, Replacement Record Information  
883, Machine-generated Metadata Provenance  
884, Description Conversion Information
885, Matching Information
886, Foreign MARC Information Field
887, Non-MARC Information Field
950, Subject Headings 
